Settlement ID@Name@Easting@Northing@Elevation@Population@Net_Name@Net_ID@Net_Influence@Tax_neutral@Tax_Network@Water@Food@Grain@Wine@Timber@Gold@Silver@Copper@Tin@Obsidian@Lead@Slaves@Goats@Sheep@Luxury Items@Is_A_City@Description
1@Samothrace@40.5009@25.53@40@91@Samothrace@1@80@3.592@0.762@28@46@85@56@11@64@66@33@49@56@93@78@52@57@75@1@A bustling port, welcome to commerce.
2@Olbia@46.692000@31.901500@31@57@Athens@2@30@4.639@7.416@92@52@44@12@28@12@68@69@83@86@87@63@45@97@6@1@A bustling port, welcome to commerce.
4@Istros@44.546900@28.773000@1@29@Athens@2@20@1.424@0.465@84@85@80@24@82@18@45@31@10@64@68@34@2@54@60@1@Founded by Miletos: early coins are in the form of arrowheads! We see a sanctuary of Apollo the Healer here.
5@Tomis@44.1732@28.6584@15@56@Samothrace@1@30@3.532@0.967@56@70@42@69@86@47@25@93@99@65@70@9@1@68@47@1@A bustling port, welcome to commerce.
6@Kallatis@43.811800@28.578000@11@91@Athens@2@10@0.731@4.058@70@16@71@97@75@90@56@96@29@47@17@57@6@30@61@1@A bustling port, welcome to commerce.
7@Bizone@43.4115@28.3541@0@72@Samothrace@1@20@0.376@0.123@47@33@91@74@39@26@87@58@83@77@81@86@9@91@47@1@A bustling port, welcome to commerce.
8@Dionysopolis@43.4058@28.1655@9@31@Samothrace@1@10@0.176@0.095@49@25@86@46@12@58@12@89@39@81@72@41@23@62@24@1@Cybele is here! She is the Great Goddess of Anatolia, Phrygia, Thrace and Greece; in this place she is Pontian Mother of Gods, and she owns fields, vineyars, and workshops.  She comes to Rome late in the second century BC, to bring victory in the Punic war. Her temple here has yielded many gifts. When we see the goddess in this space, she is seated on a throne, a lion in her lap, a scepter in one hand, and a vessel for offerings in the other.
9@Abdera@40.982000@24.952300@48@58@Athens@2@50@2.842@0.787@7@60@26@35@37@85@60@39@18@34@60@6@31@19@96@1@Land of man-eating horses! This city was founded by Abderos, the companion of Herakles who was killed and eaten by the man-eating horses of Diomedes, king of Thrace. Abderas was a son of Poseidon and the Naiad Thronia; he is celebrated in athletic contests here.  
10@Abydos@40.1957@26.4039@4@35@Samothrace@1@50@1.965@4.662@48@90@47@78@28@92@41@97@0@56@59@74@5@71@95@1@Lovers and swimmers belong here! This is the mythical home of Leander, the lover of Hero, a priestess of Aphrodite who lived in a tower in Sestos on the other side of the channel.  Leander would swim the Hellespont every night to see her, guided by the lamp Hero would light and place in a tower to guide his way. 
11@Aigai Aeolis@38.830800@27.189800@350@7@Athens@2@70@3.354@0.709@69@31@61@18@22@21@95@34@59@33@46@29@26@71@59@1@The Aeolian people have divine origins – they are descendants of Aeolus, King of the Winds 
12@Aigai (Cilicia per Robert)@36.768600@35.786600@0@46@Athens@2@5@3.666@1.498@79@48@76@37@17@87@74@49@42@74@63@14@72@84@2@1@Cilicia has deep Phoenician roots! The region is named for Cilix, the son of Agenor, brother of Kadmos and Phoenix; all three went searching for Europa after she eloped with Zeus in the form of a bull. Cilix only got as far as Asia Minor, where with his followers he established the population of the region. Greek legend claims these are Syrian.
13@Aigai Macedonia@40.481500@22.316800@148@90@Athens@2@17@2.742@1.018@41@14@90@28@11@13@78@83@70@17@74@64@23@27@84@1@A bustling port, welcome to commerce.
14@Ainos@44.743@26.0675@1@6@Samothrace@1@70@0.708@0.155@73@25@32@39@5@64@34@27@5@35@16@41@90@62@9@1@Thracian royal families consider Hermes their ancestor; he is shown here as a pillar-like statue placed on a throne. 
15@Alabanda@37.591700@27.985200@111@48@Athens@2@50@0.044@0.011@3@18@66@55@36@86@28@56@90@39@80@67@9@14@40@1@This city was founded in legend by a Carian hero, Alabandus, whose name combines the words for ‘horse’ and ‘victory’ or ‘competition’. Local Apollo is known as Isotimos, “Equal in Honor to Zeus”; his sister Artemis has a temple here as well.
16@Alexandria@31.2104@29.9074@1@5@Samothrace@1@5@4.156@1.574@45@7@68@39@10@22@30@30@96@89@86@14@34@51@80@1@A bustling port, welcome to commerce.
17@Alexandria  Troas@39.7594@26.1421@10@68@Samothrace@1@17@3.169@7.723@14@22@56@15@42@46@19@22@42@42@87@76@42@7@24@1@BEWARE THE MOUSE!  Here we meet the native god Smintheus, who is assimilated to Asklepius as a god of healing and to Apollo as the god who can destroy the mice who eat grain, carry pestilence, and attack the fields. They are vermin who must be destroyed! 
19@Alopekonnesos@40.3157@26.2477@6@66@Samothrace@1@24@0.865@0.261@91@67@54@29@25@93@93@16@24@47@50@90@3@74@42@1@Dionysos on the city coins holds a big Kantharos – let’s plan on heading to the tavern! This place was founded by Aeolians.
20@Amphipolis (Maced)@40.7624@23.8981@25@39@Samothrace@1@36@4.55@184.102@92@56@30@32@76@68@89@5@15@66@77@99@9@20@54@1@A bronze smith, Markos Kaikelios Sotas, dedicated an object from his craft to the Great Gods of Samothrace; was he cheered by the closeness of Kabeiroi to Hephaistos on Lemnos?
21@Antioch@37.864700@28.540400@114@48@Athens@2@70@1.489@0.397@48@92@69@41@79@28@75@4@28@9@46@49@17@98@11@1@A bustling port, welcome to commerce.
22@Apameia Kibotos/Kelainai@38.067700@30.181600@1012@90@Athens@2@5@1.208@0.244@3@42@28@1@3@29@47@3@21@65@42@17@67@6@56@1@Here the local people know what it means to be saved from a watery death! Some celebrate this as the landing place of Noah’s ark: others tell how the king’s own son stopped a flood by riding on horseback straight into the heart of the local spring.  
23@Arsinoe/Patara@36.2668@29.3178@13@25@Samothrace@1@49@2.361@1.393@16@16@83@4@37@30@84@68@96@27@78@86@72@37@78@1@Named for the great queen of Egypt! We may invoke this powerful woman’s own spirit as we sail into port: bride of her brother, patron of Samothrace, and deified as Aphrodite of Safe Sailing.
25@Astypalaia@36.543800@26.355000@100@86@Athens@2@17@0.3@0.247@36@16@23@97@76@3@88@12@19@37@76@98@15@89@29@1@This is the island of a reluctant love! Poseidon fell in love with the Phoenician princess Astypalaea, but she was not in love with  him! She turned into a fish-tailed leopard to flee his embrace. Who can elude a god? He tracked her down, brought her here, and made her the mother of sons.   One of them is on our ship: Ankaios the helmsman!
26@Athens@37.971700@23.726800@186@17@Athens@2@80@3.912@1.219@26@59@2@47@71@44@91@96@34@80@8@99@82@8@90@1@City of Athena, center of Greece: “City of light, with thy violet crown, beloved of the poets, thou art the bulwark of Greece.” 
27@Aulai@36.7587@28.1323@19@91@Samothrace@1@64@0.005@0.001@59@78@56@37@65@55@45@69@88@43@38@7@76@60@52@1@A bustling port, welcome to commerce.
28@Azoros@39.970200@22.100400@500@76@Athens@2@30@2.311@5.711@75@38@89@42@49@52@72@33@46@51@31@23@40@58@75@1@A bustling port, welcome to commerce.
29@Bargylia@37.194200@27.588700@29@61@Athens@2@20@1.232@0.337@51@18@17@99@47@22@39@6@7@96@84@49@37@29@27@1@Bellerophon, conqueror of the Chimaera, founded this city in honor of his friend Bargylos, who died after being kicked by Pegasos, Bellerophon’s winged horse.
