Settlement ID,Name,Easting,Northing,Elevation,Population,Net_Name,Net_ID,Net_Influence,Tax_neutral,Tax_Network,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Slaves,Goats,Sheep,Luxury Items,Is_A_City,Model_Reference,Description
1,Samothrace,40.5009,25.53,40,50,Samothrace,1_5,80,0.129,0.03,50,66,28,95,8,9,4,27,39,9,60,4,10,4,21,1,basic,"You have reached the mysterious island of Samothrace, in the eastern region of Thrace.  The island of Samothrace is an enormous rocky outcrop, and as the tallest peak in the region the island is a natural beacon for navigation. Homer described Poseidon sitting on its peak to watch the battle on the plain of Troy (liad 13.12).  The island of Samothrace is the site of mysterious sacred ceremonies honoring the Great Gods of Samothrace, but no one will speak of the details of these secret ceremonies!"
2,Olbia,46.692000,31.901500,31,90,Samothrace,1,30,0.556,0.214,44,35,40,23,3,9,3,42,28,1,39,4,15,16,0,1,basic,"A prosperous and important port city on the northern coast of the Black Sea, Olbia is welcome to commerce, but watch out for barbarians from the north! Olbia was founded by Miletus centuries ago (""Olbia."" Stillwell et al., 1976)."
4,Istros,44.546900,28.773000,1,90,Samothrace,1,20,2.756,0.567,90,34,89,18,0,9,4,27,43,7,62,18,88,16,47,1,basic,Founded by Miletos: early coins are in the form of arrowheads! We see a sanctuary of Apollo the Healer here.
5,Tomis,44.1732,28.6584,15,70,Independent,0,30,1.023,10.691,17,40,98,50,4,1,8,12,12,4,18,5,18,37,7,1,basic,"The Samothracian gods figure processions and priesthoods for life in Tomis: an association of mystai is also attested. The city was founded as a colony of Miletus in the 6th century BC, likely in order to enable exchagne with the local Getic population; in myth, it is the place where Aeetes buried the rescued limbs of his son, carved to pieces by Medea. The city is positioned on a small peninsula on the coastal road between Istros and Byzantium; it benefited from its proximity to the Danube delta. Memnon calls it an emporium (FHG 3, 557). Strabo noted that the hinterland was full of Scordisci, Crobyzi and Troglodytae (Strabo 7.5.12). The city was the setting for Ovid's exile, and a chance for him to reflect on the local non-Greco-Roman population."
6,Kallatis,43.811800,28.578000,11,90,Independent,0,10,4.532,49.514,20,58,85,49,2,35,3,33,19,6,31,18,66,60,68,1,basic,"A Megarian colony, wealthy from its agriculture, Kallatis maintained economic links with Thasos, Rhodes, Paros and Delos in the fourth century BC."
7,Bizone,43.4115,28.3541,0,30,Independent,0,20,1.161,0.348,69,79,60,41,3,0,7,7,24,13,53,15,2,40,18,1,basic,"Originally a Thracian settlement, with traces from the Aeneolithic period, Bizone has been considered an apoikia of Mesambria/Mesembria (ps-Scymn. 758f; for caveats see I. von Bredow, 'Bizone', Brill's New Pauly). The site was likely a polis from the 4th century BC onward; epigraphic evidence exists from the early 2nd c BC. Bison was captured by Lucullus in 72/71 BC (Eutr. 6.10), and destroyed subsequently by an earthquake (Pliny NH 4.44; Strabo 7.6.1). The chora was then divided between Dionysopolis and Callatis (IGBulg 5.5011)."
8,Dionysopolis,43.4058,28.1655,9,70,Independent,0,10,4.414,1.829,94,55,5,8,8,2,1,37,13,7,64,0,76,24,30,1,basic,"Cybele is here! She is the Great Goddess of Anatolia, Phrygia, Thrace and Greece; in this place she is Pontian Mother of Gods, and she owns fields, vineyars, and workshops.  She comes to Rome late in the second century BC, to bring victory in the Punic war. Her temple here has yielded many gifts. When we see the goddess in this space, she is seated on a throne, a lion in her lap, a scepter in one hand, and a vessel for offerings in the other."
9,Abdera,40.982000,24.952300,48,90,Samothrace,1,50,0.623,0.582,65,88,40,29,4,85,5,10,12,2,62,3,35,52,99,1,basic,"Land of man-eating horses! This city was founded by Abderos, the companion of Herakles who was killed and eaten by the man-eating horses of Diomedes, king of Thrace. Abderas was a son of Poseidon and the Naiad Thronia; he is celebrated in athletic contests here.  Sources: Diodorus Siculus 1st century B.C., Library, 30,6; Library, 15,36,2-4; Herodotus 5th century B.C., The Histories, 6,46; The Histories, 1168.0; Strabo 1st century B.C./1st century A.D. Geography, 14,1,30"
10,Abydos,40.1957,26.4039,4,70,Karthaia,11,50,1.021,0.913,35,77,43,95,6,0,7,34,39,12,29,16,92,67,82,1,basic,"Lovers and swimmers belong here! This is the mythical home of Leander, the lover of Hero, a priestess of Aphrodite who lived in a tower in Sestos on the other side of the channel.  Leander would swim the Hellespont every night to see her, guided by the lamp Hero would light and place in a tower to guide his way. Sources: Herodotus, 5th century B.C., The Histories, 7,43-56; The Histories, 7,34-36; Livy, 1st century B.C./1st century A.D., Ab urbe condita, 37,9; Ab urbe condita, 16,29-394; Thucydides, 5th/4th century B.C., The Peloponnesian War, 8,61 f.; Homer, 8th/7th century B.C., Iliad, Il. 17,584; Iliad, Il. 4,500; Iliad, Il. 2.837; Strabo, 1st century B.C./1st century A.D., Geography, 13,1,22."
11,Aigai Aeolis,38.830800,27.189800,350,91,Delphi,6,70,0.205,0.047,51,92,96,88,4,0,2,35,33,2,7,22,27,83,31,1,basic,"The Aeolian people have divine origins – they are descendants of Aeolus, King of the Winds "
12,Aigai (Cilicia per Robert),36.768600,35.786600,0,44,Samothrace,1_7_11,5,6.444,7.586,74,60,44,23,9,7,7,49,6,65,23,20,76,49,27,1,basic,"Cilicia has deep Phoenician roots! The region is named for Cilix, the son of Agenor, brother of Kadmos and Phoenix; all three went searching for Europa after she eloped with Zeus in the form of a bull. Cilix only got as far as Asia Minor, where with his followers he established the population of the region. Greek legend claims these are Syrian."
13,Aigai Macedonia,40.481500,22.316800,148,30,Independent,0,17,2.178,1.158,35,35,99,7,99,3,0,15,39,7,67,11,46,87,80,1,basic,"A bustling port, welcome to commerce."
14,Ainos,44.743,26.0675,1,80,Independent,0,70,0.194,0.612,59,14,21,0,5,6,8,22,27,12,69,21,33,49,51,1,basic,"Thracian royal families consider Hermes their ancestor; he is shown here as a pillar-like statue placed on a throne. Sources: Polybius 5,34,9, 2nd century B.C., Thucydides 2,29, 5th/4th century B.C., Herodotus 7,58, 5th century B.C., Hipponax 77.0, 6th century B.C., Strabo 7,7,1, 1st century B.C./1st century A.D., Homer Il. 4,520, 8th/7th century B.C."
