Settlement ID,Name,Easting,Northing,Elevation,Population,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Livestock,Goats,Sheep,Luxury Items
35,Delos,37.396,25.2712,59,4202,229,972,568,334,906,586,871,543,384,746,367,622,592,316,306
73,Maroneia,40.8776,25.5177,57,8718,944,87,431,254,238,598,198,427,590,264,858,11,352,984,137
62,Kyzikos,40.3964,27.8855,56,2542,708,103,372,3,508,207,474,701,11,945,347,533,90,601,125
109,Thasos,40.7821,24.7178,56,6316,688,243,343,338,729,249,296,830,219,495,453,421,655,965,16
41,Erythrai,38.3821,26.478,46,9371,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9
1,Samothrace,40.5009,25.53,40,3333,788,682,673,959,121,149,670,981,844,128,890,198,701,110,293
97,Rome,41.9029,12.4526,39,1476,512,745,156,16,495,993,25,641,0,249,618,479,530,1,578
37,Elis,37.8897,21.374,38,9861,378,964,863,581,307,353,847,971,282,861,283,684,665,766,457
115,Troy/Ilium,39.9573,26.2389,36,9100,408,204,284,772,335,559,709,31,235,48,941,675,34,630,392
48,Kalchedon/Chalcedon,40.9856,29.028,33,855,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876
68,Lindos,36.0936,28.0909,29,2517,325,938,579,231,151,754,713,919,905,280,901,678,94,656,443
111,Thessalonike,40.6377,22.9465,29,7648,697,311,255,387,610,139,475,951,106,733,923,610,510,166,407
78,Myra,36.2591,29.9853,26,1329,785,921,67,374,425,537,645,634,951,826,628,217,278,737,178
20,Amphipolis (Maced),40.7624,23.8981,25,9491,416,718,484,918,287,828,729,847,677,46,252,497,710,865,694
38,Ephesos,37.94,27.3399,20,7141,544,2,128,621,459,428,776,665,709,472,476,184,567,795,986
27,Aulai,36.7587,28.1323,19,4952,239,788,71,913,657,484,146,905,170,120,26,929,886,15,659
79,Myrina Lemnos,39.8762,25.0588,17,3146,909,33,948,604,944,984,640,798,73,192,229,807,29,167,316
93,Phokaia,38.6702,26.7588,15,9064,90,609,791,578,324,95,468,269,987,920,734,134,865,704,879
5,Tomis,44.1732,28.6584,15,9947,165,816,794,906,640,145,363,644,138,165,702,809,568,488,873
85,Paros,37.0857,25.1545,14,6670,828,115,559,672,679,902,833,189,308,249,36,402,683,344,824
23,Arsinoe/Patara,36.2668,29.3178,13,7425,817,613,91,186,415,208,111,819,416,213,401,66,977,386,702
47,Imbros,40.2357,25.9118,13,8754,889,558,983,680,622,990,460,834,635,826,869,545,671,509,604
88,Perinthus/Heraclea,40.9687,27.9553,13,2555,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500
95,Priapos,49.411,27.3302,12,4878,990,63,437,209,214,567,213,593,162,335,417,254,962,88,353
40,Eresos,39.1359,25.9341,11,7690,95,241,781,818,466,817,330,294,489,968,586,501,504,107,219
17,Alexandria  Troas,39.7594,26.1421,10,821,793,676,115,293,162,884,220,939,965,161,268,758,806,79,642
8,Dionysopolis,43.4058,28.1655,9,7827,183,211,151,422,25,796,845,415,680,451,103,72,692,718,88
55,Knidos,36.7229,27.6883,9,2932,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110
96,Rhodes,36.444,28.2278,9,6362,775,34,830,347,419,448,417,181,676,735,819,900,888,661,589
33,Chios,38.3737,26.1374,8,7807,655,724,793,94,258,700,867,587,474,112,531,157,494,626,897
63,Lampsakos,40.3527,26.6938,8,4147,506,873,606,355,818,733,802,474,620,110,616,133,271,537,390
83,Odessos,43.2012,27.9226,8,2272,547,779,56,280,361,358,799,538,172,190,573,328,311,155,965
98,Samos,37.6894,26.9418,8,7217,335,314,580,63,708,146,947,529,706,879,43,465,434,93,69
34,Dardanos,40.0851,26.3647,7,9853,52,605,783,520,65,568,509,353,401,291,583,545,654,117,962
81,Naxos,37.1077,25.3752,7,6646,366,468,20,356,39,438,873,798,456,915,983,306,837,458,445
19,Alopekonnesos,40.3157,26.2477,6,5850,251,651,452,279,52,10,334,638,498,460,826,657,241,108,603
50,Karpathos (Tristomo),35.8219,27.2226,6,7156,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164
10,Abydos,40.1957,26.4039,4,9573,366,33,52,959,444,26,250,792,106,959,827,541,832,935,102
14,Ainos,44.743,26.0675,1,4300,985,955,245,774,349,370,700,853,119,222,471,83,587,903,374
16,Alexandria,31.2104,29.9074,1,4040,686,996,778,310,366,379,963,781,479,169,634,50,51,923,181
76,Miletus,37.5342,27.2791,1,686,716,356,427,149,480,387,541,935,63,236,94,751,23,70,916
7,Bizone,43.4115,28.3541,0,1974,135,45,917,573,569,697,468,999,344,479,455,421,808,519,262
52,Kaunos,36.8076,28.6039,0,7950,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587
54,Klazomenai,38.3677,26.7839,0,5859,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96
59,Kyme,38.7593,26.9359,0,7226,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190
91,Philadelphia (Fayum),29.4208,31.0107,0,9520,881,973,983,306,899,851,835,405,641,603,688,955,614,20,803
112,Torone,39.9843,23.9022,0,13,553,215,455,743,149,910,807,688,446,812,797,602,212,513,706
