Settlement ID,Name,Easting,Northing,Elevation,Population,Net_Name,Net_ID,Net_Influence,Tax_neutral,Tax_Network,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Livestock,Goats,Sheep,Luxury Items,Is_A_City
1,Samothrace,40.5009,25.53,40,3333,Samothrace,1,80,1.559,1.3,788,682,673,959,121,149,670,981,844,128,890,198,701,110,293,1
2,Olbia,46.692000,31.901500,31,9861,Athens,2,30,0.162,0.032,378,964,863,581,307,353,847,971,282,861,283,684,665,766,457,1
4,Istros,44.546900,28.773000,1,7141,Athens,2,20,1.942,0.859,544,2,128,621,459,428,776,665,709,472,476,184,567,795,986,1
5,Tomis,44.1732,28.6584,15,9947,Samothrace,1,30,5.087,11.508,165,816,794,906,640,145,363,644,138,165,702,809,568,488,873,1
6,Kallatis,43.811800,28.578000,11,7690,Athens,2,10,3.184,6.035,95,241,781,818,466,817,330,294,489,968,586,501,504,107,219,1
7,Bizone,43.4115,28.3541,0,1974,Samothrace,1,20,1.564,0.687,135,45,917,573,569,697,468,999,344,479,455,421,808,519,262,1
8,Dionysopolis,43.4058,28.1655,9,7827,Samothrace,1,10,0.004,0,183,211,151,422,25,796,845,415,680,451,103,72,692,718,88,1
9,Abdera,40.982000,24.952300,48,9371,Athens,2,50,2.273,11.767,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9,1
10,Abydos,40.1957,26.4039,4,9573,Samothrace,1,50,0.399,0.123,366,33,52,959,444,26,250,792,106,959,827,541,832,935,102,1
11,Aigai Aeolis,38.830800,27.189800,350,8754,Athens,2,70,3.191,3.493,889,558,983,680,622,990,460,834,635,826,869,545,671,509,604,1
12,Aigai (Cilicia per Robert),36.768600,35.786600,0,855,Athens,2,5,0.832,0.26,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876,1
13,Aigai Macedonia,40.481500,22.316800,148,7156,Athens,2,17,1.534,0.466,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164,1
14,Ainos,44.743,26.0675,1,4300,Samothrace,1,70,7.746,18.127,985,955,245,774,349,370,700,853,119,222,471,83,587,903,374,1
15,Alabanda,37.591700,27.985200,111,7950,Athens,2,50,9.439,63.444,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587,1
16,Alexandria,31.2104,29.9074,1,4040,Samothrace,1,5,0.266,0.128,686,996,778,310,366,379,963,781,479,169,634,50,51,923,181,1
17,Alexandria  Troas,39.7594,26.1421,10,821,Samothrace,1,17,7.169,3.425,793,676,115,293,162,884,220,939,965,161,268,758,806,79,642,1
19,Alopekonnesos,40.3157,26.2477,6,5850,Samothrace,1,24,0.056,0.016,251,651,452,279,52,10,334,638,498,460,826,657,241,108,603,1
20,Amphipolis (Maced),40.7624,23.8981,25,9491,Samothrace,1,36,4.121,2.131,416,718,484,918,287,828,729,847,677,46,252,497,710,865,694,1
21,Antioch,37.864700,28.540400,114,2932,Athens,2,70,1.618,0.601,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96,1
22,Apameia Kibotos/Kelainai,38.067700,30.181600,1012,7226,Athens,2,5,0.148,0.139,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110,1
23,Arsinoe/Patara,36.2668,29.3178,13,7425,Samothrace,1,49,1.174,1.107,817,613,91,186,415,208,111,819,416,213,401,66,977,386,702,1
25,Astypalaia,36.543800,26.355000,100,2542,Athens,2,17,1.305,0.482,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190,1
26,Athens,37.971700,23.726800,186,4147,Athens,2,80,0.348,0.167,708,103,372,3,508,207,474,701,11,945,347,533,90,601,125,1
27,Aulai,36.7587,28.1323,19,4952,Samothrace,1,64,1.324,0.74,239,788,71,913,657,484,146,905,170,120,26,929,886,15,659,1
28,Azoros,39.970200,22.100400,500,2517,Athens,2,30,2.053,1.388,506,873,606,355,818,733,802,474,620,110,616,133,271,537,390,1
29,Bargylia,37.194200,27.588700,29,8718,Athens,2,20,1.201,1.062,325,938,579,231,151,754,713,919,905,280,901,678,94,656,443,1
31,Byzantion,41.009700,28.973200,59,686,Athens,2,10,1.205,1.303,944,87,431,254,238,598,198,427,590,264,858,11,352,984,137,1
33,Chios,38.3737,26.1374,8,7807,Samothrace,1,7,0.875,0.268,655,724,793,94,258,700,867,587,474,112,531,157,494,626,897,1
34,Dardanos,40.0851,26.3647,7,9853,Samothrace,1,12,1.553,0.353,52,605,783,520,65,568,509,353,401,291,583,545,654,117,962,1
35,Delos,37.396,25.2712,59,4202,Samothrace,1,73,1.573,3.194,229,972,568,334,906,586,871,543,384,746,367,622,592,316,306,1
37,Elis,37.8897,21.374,38,9861,Independent,0,0,2.75,12.704,378,964,863,581,307,353,847,971,282,861,283,684,665,766,457,1
38,Ephesos,37.94,27.3399,20,7141,Independent,0,0,0.258,0.14,544,10,128,621,459,428,776,665,709,472,476,184,567,795,986,1
39,Epidamnos,41.312500,19.445200,16,1329,Athens,2,50,5.976,1.333,716,356,427,149,480,387,541,935,63,236,94,751,23,70,916,1
40,Eresos,39.1359,25.9341,11,7690,Independent,0,0,4.439,2.546,95,241,781,818,466,817,330,294,489,968,586,501,504,107,219,1
41,Erythrai,38.3821,26.478,46,9371,Independent,0,0,2.383,0.78,393,484,607,766,34,588,742,9,618,898,744,443,902,629,9,1
42,Fasilar,36.828400,33.470000,1296,3146,Athens,2,70,3.054,0.968,785,921,67,374,425,537,645,634,951,826,628,217,278,737,178,1
43,GÜk_eoren,40.765900,29.915100,80,6646,Athens,2,5,1.921,1.339,909,33,948,604,944,984,640,798,73,192,229,807,29,167,316,1
44,Halikarnassos,37.025300,27.412000,60,2272,Athens,2,17,1.068,5.184,366,468,20,356,39,438,873,798,456,915,983,306,837,458,445,1
45,Herakleia apo Strymonos,41.273100,23.299300,69,6670,Athens,2,24,1.35,1.115,547,779,56,280,361,358,799,538,172,190,573,328,311,155,965,1
46,Iasos,37.280800,27.584400,21,2555,Athens,2,36,1.156,0.696,828,115,559,672,679,902,833,189,308,249,36,402,683,344,824,1
47,Imbros,40.2357,25.9118,13,8754,Independent,0,0,2.437,0.717,889,558,983,680,622,990,460,834,635,826,869,545,671,509,604,1
48,Kalchedon/Chalcedon,40.9856,29.028,33,855,Independent,0,0,3.018,1.803,996,465,705,859,758,175,933,907,386,47,621,547,298,201,876,1
49,Kamiros,36.338200,27.923500,74,9520,Athens,2,49,3.051,133.07,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500,1
50,Karpathos (Tristomo),35.8219,27.2226,6,7156,Independent,0,0,6.737,40.521,465,785,116,70,265,54,572,394,572,160,429,417,43,48,164,1
51,Kassandreia,40.195000,23.325000,8,9064,Keramos,3,64,0.93,0.408,881,973,983,306,899,851,835,405,641,603,688,955,614,20,803,1
52,Kaunos,36.8076,28.6039,0,7950,Independent,0,0,0.104,0.044,785,568,989,460,892,60,53,96,907,763,259,667,221,145,587,1
53,Keramos,37.041100,27.950800,31,4878,Keramos,3,80,2.714,0.74,90,609,791,578,324,95,468,269,987,920,734,134,865,704,879,1
54,Klazomenai,38.3677,26.7839,0,5859,Independent,0,0,1.782,3.559,139,830,179,362,635,20,410,315,305,457,612,221,562,30,96,1
55,Knidos,36.7229,27.6883,9,2932,Independent,0,0,1.542,0.463,522,275,544,492,244,750,329,205,698,902,943,287,890,479,110,1
56,Kolophon,38.005100,27.193100,6,6362,Keramos,3,12,0.063,0.024,990,63,437,209,214,567,213,593,162,335,417,254,962,88,353,1
57,Koptos Egypt,25.995000,32.815200,74,1476,Keramos,3,73,0.051,0.019,775,34,830,347,419,448,417,181,676,735,819,900,888,661,589,1
58,Kos,36.893400,27.290500,6,7217,Keramos,3,36,4.61,2.098,512,745,156,16,495,993,25,641,0,249,618,479,530,1,578,1
59,Kyme,38.7593,26.9359,0,7226,Independent,0,0,1.519,0.339,31,28,37,97,297,706,543,139,92,942,119,187,890,231,190,1
60,Kyrene,32.823800,21.855900,593,6316,Keramos,3,49,1.336,0.471,335,314,580,63,708,146,947,529,706,879,43,465,434,93,69,1
61,Kythnos,37.410200,24.396600,18,7648,Keramos,3,64,3.178,0.834,688,243,343,338,729,249,296,830,219,495,453,421,655,965,16,1
62,Kyzikos,40.3964,27.8855,56,2542,Independent,0,0,0.021,0.006,708,103,372,3,508,207,474,701,11,945,347,533,90,601,125,1
63,Lampsakos,40.3527,26.6938,8,4147,Independent,0,0,5.661,1.44,506,873,606,355,818,733,802,474,620,110,616,133,271,537,390,1
64,Larisa on the Hermos,38.667300,27.031900,50,13,Keramos,3,20,5.388,1.225,697,311,255,387,610,139,475,951,106,733,923,610,510,166,407,1
65,Larisa Thessaly,39.630900,22.426400,75,9100,Keramos,3,12,0.1,0.045,553,215,455,743,149,910,807,688,446,812,797,602,212,513,706,1
66,Lartos (Rhodes),36.095800,28.015300,76,3333,Keramos,3,73,4.115,9.611,408,204,284,772,335,559,709,31,235,48,941,675,34,630,392,1
68,Lindos,36.0936,28.0909,29,2517,Independent,0,0,2.68,0.629,325,938,579,231,151,754,713,919,905,280,901,678,94,656,443,1
69,Lysimacheia,38.529900,21.335800,361,9947,Keramos,3,12,1.769,1.264,788,682,673,959,121,149,670,981,844,128,890,198,701,110,293,1
71,Magnesia ad Maeandrum TKY,37.872900,27.629700,55,1974,Keramos,3,73,7.933,1.886,165,816,794,906,640,145,363,644,138,165,702,809,568,488,873,1
72,Magnesia  ad Sipylum TKY,38.614100,27.422200,70,7827,Keramos,3,36,0.39,0.118,135,45,917,573,569,697,468,999,344,479,455,421,808,519,262,1
73,Maroneia,40.8776,25.5177,57,8718,Independent,0,0,9.372,1.959,944,87,431,254,238,598,198,427,590,264,858,11,352,984,137,1
74,Melos,36.737900,24.423900,96,9573,Keramos,3,49,0.921,1.325,183,211,151,422,25,796,845,415,680,451,103,72,692,718,88,1
75,Methymna,39.368300,26.177200,94,4300,Keramos,3,64,0.087,0.051,366,33,52,959,444,26,250,792,106,959,827,541,832,935,102,1
76,Miletus,37.5342,27.2791,1,686,Independent,0,0,0.597,0.135,716,356,427,149,480,387,541,935,63,236,94,751,23,70,916,1
77,Mylasa,37.317600,27.771900,105,4040,Keramos,3,20,3.786,0.818,985,955,245,774,349,370,700,853,119,222,471,83,587,903,374,1
78,Myra,36.2591,29.9853,26,1329,Independent,0,0,7.449,1.926,785,921,67,374,425,537,645,634,951,826,628,217,278,737,178,1
79,Myrina Lemnos,39.8762,25.0588,17,3146,Independent,0,0,5.299,21.727,909,33,948,604,944,984,640,798,73,192,229,807,29,167,316,1
80,Mytilene Lesbos,39.109400,26.557700,10,821,Keramos,3,12,1.537,0.322,686,996,778,310,366,379,963,781,479,169,634,50,51,923,181,1
81,Naxos,37.1077,25.3752,7,6646,Independent,0,0,0.313,0.092,366,468,20,356,39,438,873,798,456,915,983,306,837,458,445,1
82,Nysa,37.894900,28.155500,155,5850,Keramos,3,73,3.71,2.357,793,676,115,293,162,884,220,939,965,161,268,758,806,79,642,1
83,Odessos,43.2012,27.9226,8,2272,Independent,0,0,1.27,0.374,547,779,56,280,361,358,799,538,172,190,573,328,311,155,965,1
84,Parium,40.415000,27.069200,7,9491,Keramos,3,12,2.63,0.608,251,651,452,279,52,10,334,638,498,460,826,657,241,108,603,1
85,Paros,37.0857,25.1545,14,6670,Independent,0,0,0.02,0.004,828,115,559,672,679,902,833,189,308,249,36,402,683,344,824,1
86,Patara (Arsinoe),36.266800,29.317800,13,7425,Keramos,3,73,3.639,1.715,416,718,484,918,287,828,729,847,677,46,252,497,710,865,694,1
88,Perinthus/Heraclea,40.9687,27.9553,13,2555,Independent,0,0,0.295,0.077,974,409,806,87,828,907,801,145,961,252,360,902,378,801,500,1
90,Pherai (Thessaly),39.382900,22.737200,149,4952,Keramos,3,36,5.422,13.869,817,613,91,186,415,208,111,819,416,213,401,66,977,386,702,1
