Settlement ID@Name@Easting@Northing@Elevation@Population@Net_Name@Net_ID@Net_Influence@Tax_neutral@Tax_Network@Water@Food@Grain@Wine@Timber@Gold@Silver@Copper@Tin@Obsidian@Lead@Slaves@Goats@Sheep@Luxury Items@Is_A_City@Description
1@Samothrace@40.5009@25.53@40@3333@Samothrace@1@80@2.212@0.453@92@85@34@18@90@6@88@17@35@48@16@74@1@66@9@1@A bustling port, welcome to commerce.
2@Olbia@46.692000@31.901500@31@9861@Athens@2@30@1.049@1.118@81@14@88@48@61@2@49@43@43@76@51@2@68@40@9@1@A bustling port, welcome to commerce.
4@Istros@44.546900@28.773000@1@7141@Athens@2@20@1.997@1.152@26@60@43@54@15@23@57@8@48@12@65@26@94@22@53@1@Founded by Miletos: early coins are in the form of arrowheads! We see a sanctuary of Apollo the Healer here.
5@Tomis@44.1732@28.6584@15@9947@Samothrace@1@30@1.631@2.547@95@85@55@78@97@62@83@61@49@55@70@3@16@24@5@1@A bustling port, welcome to commerce.
6@Kallatis@43.811800@28.578000@11@7690@Athens@2@10@0.316@0.11@43@73@74@54@68@59@13@81@47@61@42@25@30@72@19@1@A bustling port, welcome to commerce.
7@Bizone@43.4115@28.3541@0@1974@Samothrace@1@20@1.901@0.581@0@72@26@82@59@15@50@62@39@53@77@35@18@17@63@1@A bustling port, welcome to commerce.
8@Dionysopolis@43.4058@28.1655@9@7827@Samothrace@1@10@0.226@0.101@82@70@70@52@46@53@48@38@23@76@55@7@93@61@44@1@Cybele is here! She is the Great Goddess of Anatolia, Phrygia, Thrace and Greece; in this place she is Pontian Mother of Gods, and she owns fields, vineyars, and workshops.  She comes to Rome late in the second century BC, to bring victory in the Punic war. Her temple here has yielded many gifts. When we see the goddess in this space, she is seated on a throne, a lion in her lap, a scepter in one hand, and a vessel for offerings in the other.
9@Abdera@40.982000@24.952300@48@9371@Athens@2@50@5.141@2.409@82@68@23@54@79@66@40@49@67@19@90@14@68@9@28@1@Land of man-eating horses! This city was founded by Abderos, the companion of Herakles who was killed and eaten by the man-eating horses of Diomedes, king of Thrace. Abderas was a son of Poseidon and the Naiad Thronia; he is celebrated in athletic contests here.  
10@Abydos@40.1957@26.4039@4@9573@Samothrace@1@50@3.823@1.694@34@62@22@90@58@81@28@61@98@44@7@88@45@78@74@1@Lovers and swimmers belong here! This is the mythical home of Leander, the lover of Hero, a priestess of Aphrodite who lived in a tower in Sestos on the other side of the channel.  Leander would swim the Hellespont every night to see her, guided by the lamp Hero would light and place in a tower to guide his way. 
11@Aigai Aeolis@38.830800@27.189800@350@8754@Athens@2@70@8.18@12.215@0@21@18@39@72@68@2@50@68@72@13@84@4@55@76@1@The Aeolian people have divine origins – they are descendants of Aeolus, King of the Winds 
12@Aigai (Cilicia per Robert)@36.768600@35.786600@0@855@Athens@2@5@3.409@4.6@57@12@92@3@0@38@31@32@53@40@22@45@9@79@84@1@Cilicia has deep Phoenician roots! The region is named for Cilix, the son of Agenor, brother of Kadmos and Phoenix; all three went searching for Europa after she eloped with Zeus in the form of a bull. Cilix only got as far as Asia Minor, where with his followers he established the population of the region. Greek legend claims these are Syrian.
